상품코드,보험사,상품명,상품카테고리,타겟연령,월보험료_기준,기준보험료_원,보험료납입주기,기준프로필,주요보장1,주요보장2,주요보장3,특약옵션,가입조건
JW-AUTO-001,정원손해보험,정원다이렉트 자동차표준,자동차,26~49세 운전자,65800,790000,연납,"37세 남성, 중형 세단, 최초 가입 5년차, 자차 포함",대인배상II와 대물배상 10억원 한도 선택 가능,자기차량손해와 자동차상해 담보를 기본형으로 구성,긴급견인 10km와 비상급유 1회 서비스 제공,"마일리지, 블랙박스, 자녀할인, 첨단안전장치 할인","최근 3년 사고경력, 차량가액, 운전자 범위에 따라 보험료 변동"
JW-AUTO-002,정원손해보험,정원패밀리카 안심플랜,자동차,30~50대 가족 운전자,80300,964000,연납,"42세 여성, SUV, 부부한정, 자녀 2명, 자차 포함",대인배상I·II와 대물배상 15억원까지 확대 가능,가족 탑승 중 상해와 렌터카 비용 특약을 함께 설계,유리손상과 침수손해에 대한 복구 지원 특약 선택 가능,"렌터카, 유리손상, 침수복구, 법률비용 지원",부부한정 또는 가족한정 선택 시 운전자 범위 확인 필요
JW-AUTO-003,정원손해보험,정원EV 케어자동차,자동차,30~50대 전기차 운전자,91200,1094000,연납,"39세 남성, 전기 SUV, 자차 포함, 연간주행 14,000km",전기차 배터리 화재와 충전 중 손해 진단비를 보완,배터리 잔존가치 하락과 견인비 확대 특약을 선택 가능,충전 중 제3자 손해와 법률비용 지원을 함께 설계,"배터리손상, 충전케이블 손해, 화재확장, 긴급견인 40km","전기차 등록 차량만 가입 가능, 배터리 진단기록 제출 시 할인 적용"
JW-AUTO-004,정원손해보험,정원비즈 운행안심,자동차,30~55세 자영업 운전자,97500,1170000,연납,"45세 남성, 1톤 화물겸용 승합, 사업장 왕복 운행, 자차 포함",업무용 운행 중 대물배상과 법률비용 지원을 강화,운행 중 사고로 인한 휴차료와 대체교통비 특약 선택 가능,긴급출동과 소화기 교체비 지원을 포함한 사업자형 구성,"휴차료, 대체교통비, 법률비용, 적재물 낙하 배상 특약","업무용 차량 사용 목적 고지 필요, 영업용 번호판은 별도 심사"
HP-AUTO-001,해피손해보험,해피다이렉트 스마트카,자동차,24~45세 운전자,58100,697000,연납,"32세 여성, 준중형 세단, 1인 한정, 자차 포함",다이렉트 가입 기준으로 대인배상II와 대물배상 7억원 구성,자기신체사고와 긴급출동을 실속형으로 묶은 상품,마일리지와 블랙박스 할인 중심으로 보험료를 절감,"마일리지, 블랙박스, 첨단안전장치, 티맵주행 할인","온라인 전용 상품, 최근 1년 사고경력과 차량 연식에 따라 인수 제한 가능"
HP-AUTO-002,해피손해보험,해피패밀리카 밸런스,자동차,30~50대 가족 운전자,72600,871000,연납,"41세 남성, 패밀리 SUV, 부부+지정1인, 자차 포함",대인·대물 담보를 균형 있게 구성한 가정형 자동차보험,가족 탑승 상해와 자차 수리비 부담 완화 특약 제공,렌터카와 긴급출동을 기본형보다 넓게 제공,"가족운전자 확대, 렌터카 7일, 유리손상, 긴급출동 플러스",부부 또는 지정운전자 범위를 초과한 운전은 보장 제한
HP-AUTO-003,해피손해보험,해피EV 라이트,자동차,27~48세 전기차 운전자,84900,1019000,연납,"35세 여성, 전기 세단, 연간주행 11,000km, 자차 포함",전기차 충전 중 손해와 견인거리 확대를 실속형으로 설계,배터리 진단비와 화재후복구 지원 특약을 선택 가능,온라인 청구와 수리비 선지급 프로세스를 간소화,"배터리손상, 충전케이블 손해, 화재후복구, 비대면 사고접수","전기차 전용 상품, 배터리 교체 이력과 사고이력 심사 필요"
HP-AUTO-004,해피손해보험,해피주행거리 절약형,자동차,20~40대 저주행 운전자,51700,620000,연납,"29세 남성, 경형 해치백, 연간주행 7,000km, 자차 포함",저주행 고객을 위한 마일리지 우대형 자동차보험,기본 담보를 유지하면서 자기부담금을 높여 보험료를 절감,주행거리 인증 시 환급형 혜택과 무사고 리워드를 제공,"마일리지 환급, 무사고 리워드, 블랙박스, 가족대리운전 제외","주행거리 앱 인증 필수, 월별 운행기록 미제출 시 환급 제외"
JN-CHILD-001,조녁생명,조녁우리아이 성장케어,어린이,0~10세 자녀를 둔 30~40대 부모,34800,34800,월납,"5세 남아, 30세 만기, 상해·질병 종합형",응급실 내원비와 골절 진단비를 폭넓게 보장,입원일당과 수술비를 균형 있게 설계한 표준형 상품,학교생활 중 일상배상책임 특약을 선택 가능,"치아치료, 깁스치료, ADHD 검사, 부모간병 특약","생후 61일~15세 가입 가능, 최근 5년 중 중대질환 치료 이력 고지 필요"
JN-CHILD-002,조녁생명,조녁키움안심 자녀플랜,어린이,4~15세 활동량 많은 자녀,52700,52700,월납,"8세 여아, 30세 만기, 질병수술 강화형",중증질환 진단금과 재활치료 담보를 강화한 성장기 집중형,학교체육 활동 중 상해와 골절 후유장해를 보완,부모 상담지원과 통원수술 정액보장을 함께 설계,"재활치료, 중증질환, 통원수술, 독감검사 지원 특약","만기 갱신형 선택 가능, 특정 선천성 질환은 개별 심사"
MR-CHILD-001,미래라이프,미래우리아이 첫보험,어린이,0~7세 자녀를 둔 예산 민감형 가구,21900,21900,월납,"3세 남아, 20세 만기, 실속형",상해입원과 질병통원 중심의 실속형 보장 구성,응급실 내원과 깁스치료 담보를 기본형보다 가볍게 설계,보험료 부담을 줄이면서 생활사고를 보완,"응급실, 깁스치료, 치아파절, 학교생활 배상책임 특약","생후 90일~12세 가입 가능, 고위험 질환 치료 중인 경우 인수 제한"
MR-CHILD-002,미래라이프,미래쑥쑥케어 어린이,어린이,5~15세 초등·중등 자녀,39500,39500,월납,"10세 여아, 30세 만기, 수술비 강화형",수술비와 입원일당을 강화한 학령기 중심형 보장,학교생활 중 상해와 호흡기질환 입원 보장을 함께 제공,치아치료와 알레르기 검사 특약을 선택 가능,"치아치료, 알레르기 검사, 깁스치료, 부모간병 특약",최근 1년 내 중대 수술 이력 시 추가 심사 필요
JW-CHILD-001,정원손해보험,정원새싹튼튼 어린이,어린이,0~12세 생활상해 대비형,28600,28600,월납,"6세 남아, 20세 만기, 상해중심형","골절, 화상, 깁스치료 등 생활상해 보장을 폭넓게 제공",학교생활 중 배상책임과 응급실 내원비를 실속형으로 구성,운동 중 상해 후 재활치료 특약 선택 가능,"재활치료, 일상배상책임, 치아파절, 화상치료 특약","생후 61일~15세 가입 가능, 최근 3개월 내 입원 사실 고지 필요"
JW-CHILD-002,정원손해보험,정원우리아이 생활안심,어린이,3~15세 통합형 어린이 보장,44800,44800,월납,"9세 여아, 30세 만기, 질병·상해 균형형","질병입원, 수술비, 상해후유장해를 함께 보장",부모가 체감하기 쉬운 응급실과 통원수술 담보를 강화,학교폭력 심리상담과 법률지원 특약 선택 가능,"심리상담, 통원수술, 학교생활 배상책임, 재활치료 특약","만 15세 이하 가입 가능, 최근 5년 중 중대질환 진단 이력은 개별 심사"
HP-CHILD-001,해피손해보험,해피우리아이 가벼운보장,어린이,0~10세 예산 중심 가구,18700,18700,월납,"4세 여아, 20세 만기, 생활상해 실속형",골절과 응급실 내원 중심의 최소 실속형 보장,학교생활 배상책임과 깁스치료를 저렴하게 추가 가능,모바일 청구 중심으로 간편한 소액 보험금 처리,"응급실, 깁스치료, 학교생활 배상책임, 치아파절 특약","온라인 전용 상품, 최근 1년 중 장기입원 이력 시 인수 제한 가능"
