연월,보험사,상품카테고리,연령대,성별,가입건수,청구건수,경과보험료_원,청구금액_원,손해율(%)
2023-01,정원손해보험,자동차,20대,남성,1252,44,129578000,114389000,88.3
2023-01,정원손해보험,자동차,20대,여성,1096,35,96948000,81483000,84.0
2023-01,정원손해보험,자동차,30대,남성,1623,47,125126000,101551000,81.2
2023-01,정원손해보험,자동차,30대,여성,1418,42,92959000,74711000,80.4
2023-01,정원손해보험,자동차,40대,남성,1504,43,107346000,84855000,79.0
2023-01,정원손해보험,자동차,40대,여성,1322,35,80810000,60795000,75.2
2023-01,정원손해보험,자동차,50대,남성,1217,37,90923000,76196000,83.8
2023-01,정원손해보험,자동차,50대,여성,1015,30,65874000,51266000,77.8
2023-01,해피손해보험,자동차,20대,남성,1430,49,133951000,116132000,86.7
2023-01,해피손해보험,자동차,20대,여성,1215,40,97585000,82202000,84.2
2023-01,해피손해보험,자동차,30대,남성,1819,57,132222000,110899000,83.9
2023-01,해피손해보험,자동차,30대,여성,1519,43,91471000,74209000,81.1
2023-01,해피손해보험,자동차,40대,남성,1743,52,114616000,93515000,81.6
2023-01,해피손해보험,자동차,40대,여성,1402,38,79266000,61150000,77.1
2023-01,해피손해보험,자동차,50대,남성,1322,41,92192000,76185000,82.6
2023-01,해피손해보험,자동차,50대,여성,1095,32,64645000,51889000,80.3
2023-01,조녁생명,어린이,0-1세,남성,493,17,29145000,21989000,75.4
2023-01,조녁생명,어린이,0-1세,여성,473,16,27716000,20959000,75.6
2023-01,조녁생명,어린이,2-5세,남성,887,27,34145000,24755000,72.5
2023-01,조녁생명,어린이,2-5세,여성,828,25,32965000,23191000,70.4
2023-01,조녁생명,어린이,6-10세,남성,1004,28,31527000,21690000,68.8
2023-01,조녁생명,어린이,6-10세,여성,945,26,29299000,20642000,70.5
2023-01,조녁생명,어린이,11-15세,남성,758,19,20575000,14429000,70.1
2023-01,조녁생명,어린이,11-15세,여성,703,17,18865000,12841000,68.1
2023-01,미래라이프,어린이,0-1세,남성,548,19,28906000,21278000,73.6
2023-01,미래라이프,어린이,0-1세,여성,538,19,28608000,19963000,69.8
2023-01,미래라이프,어린이,2-5세,남성,1025,29,35157000,24505000,69.7
2023-01,미래라이프,어린이,2-5세,여성,912,26,31950000,21697000,67.9
2023-01,미래라이프,어린이,6-10세,남성,1124,31,31414000,20865000,66.4
2023-01,미래라이프,어린이,6-10세,여성,1039,29,28372000,18706000,65.9
2023-01,미래라이프,어린이,11-15세,남성,812,21,19530000,12818000,65.6
2023-01,미래라이프,어린이,11-15세,여성,768,20,18027000,11470000,63.6
2023-01,정원손해보험,어린이,0-1세,남성,543,19,30159000,22247000,73.8
2023-01,정원손해보험,어린이,0-1세,여성,482,17,26535000,19145000,72.1
2023-01,정원손해보험,어린이,2-5세,남성,947,28,34519000,24649000,71.4
2023-01,정원손해보험,어린이,2-5세,여성,858,26,31790000,22105000,69.5
2023-01,정원손해보험,어린이,6-10세,남성,1027,28,30165000,20535000,68.1
2023-01,정원손해보험,어린이,6-10세,여성,994,27,28691000,19601000,68.3
2023-01,정원손해보험,어린이,11-15세,남성,741,19,18739000,12346000,65.9
2023-01,정원손해보험,어린이,11-15세,여성,722,18,18354000,12137000,66.1
2023-01,해피손해보험,어린이,0-1세,남성,576,20,29559000,21805000,73.8
2023-01,해피손해보험,어린이,0-1세,여성,550,20,27543000,19830000,72.0
2023-01,해피손해보험,어린이,2-5세,남성,997,31,33798000,24275000,71.8
2023-01,해피손해보험,어린이,2-5세,여성,944,27,31302000,21782000,69.6
2023-01,해피손해보험,어린이,6-10세,남성,1122,29,29990000,20933000,69.8
2023-01,해피손해보험,어린이,6-10세,여성,1089,31,28875000,19813000,68.6
2023-01,해피손해보험,어린이,11-15세,남성,840,20,19187000,12987000,67.7
2023-01,해피손해보험,어린이,11-15세,여성,813,20,18610000,12504000,67.2
2023-01,조녁생명,실손,20대,남성,1151,39,12662000,10130000,80.0
2023-01,조녁생명,실손,20대,여성,1189,41,13784000,11275000,81.8
