persona_id,priority_rank,recommended_category,recommended_product_code,recommended_product_name,insurer,source_cluster,recommendation_reason,avoid_message,landing_copy_hook
PD01,1,실손,HP-HEALTH-001,해피가벼운실손 4세대,해피손해보험,1인가구 초년직장인,보험료 부담을 크게 늘리지 않으면서 실손과 운전자 리스크를 먼저 보완할 수 있다,가족 책임을 과하게 자극하는 공포형 문구,월 고정지출을 크게 늘리지 않는 첫 보험 조합
PD01,2,자동차,HP-AUTO-004,해피주행거리 절약형,해피손해보험,1인가구 초년직장인,중증 진단 대비는 종신의 기본형으로 최소한만 시작하는 편이 심리적 저항이 적다,고액 종신보험을 첫 제안으로 미는 방식,실손과 자동차를 한 번에 점검하는 사회초년생 플랜
PD01,3,종신,MR-LIFE-001,미래실속보장 종신,미래라이프,1인가구 초년직장인,중증 진단 대비는 종신의 기본형으로 최소한만 시작하는 편이 심리적 저항이 적다,고액 종신보험을 첫 제안으로 미는 방식,실손과 자동차를 한 번에 점검하는 사회초년생 플랜
PD02,1,실손,JN-HEALTH-001,조녁바른실손 4세대,조녁생명,신혼 맞벌이,"부부 공동 재무의 핵심은 의료비와 가장 리스크, 은퇴 준비를 균형 있게 시작하는 것이다",당장 자녀보험을 준비하라는 선행 판매,두 사람의 보장을 한 화면에서 정리하는 신혼 플랜
PD02,2,종신,JN-LIFE-001,조녁든든평생 종신,조녁생명,신혼 맞벌이,어린이보험은 자녀 계획이 구체화된 뒤로 미뤄도 되므로 지금은 부부 보장 최적화가 우선이다,과한 절세 마케팅 문구,실손·가장보장·은퇴준비를 동시에 체크하는 맞벌이 설계
PD02,3,연금,MR-PENSION-002,미래든든은퇴 연금,미래라이프,신혼 맞벌이,어린이보험은 자녀 계획이 구체화된 뒤로 미뤄도 되므로 지금은 부부 보장 최적화가 우선이다,과한 절세 마케팅 문구,실손·가장보장·은퇴준비를 동시에 체크하는 맞벌이 설계
PD03,1,어린이,JN-CHILD-001,조녁우리아이 성장케어,조녁생명,영유아 자녀 가구,아이 담보를 강화하되 부모 의료·가장 리스크를 함께 설명해야 실제 구매 전환이 높다,모성 불안을 지나치게 자극하는 문구,아이 보험만으로는 부족한 가족 보장 점검
PD03,2,실손,JN-HEALTH-002,조녁올케어 실손프라임,조녁생명,영유아 자녀 가구,병원 이용 빈도가 높은 연령대라 실손 보완 메시지가 강하게 반응한다,육아맘에게 고액 연금만 먼저 권하는 메시지,자주 가는 응급실과 부모 공백까지 같이 보는 육아가정 플랜
PD03,3,종신,JN-LIFE-002,조녁패밀리가드 종신,조녁생명,영유아 자녀 가구,병원 이용 빈도가 높은 연령대라 실손 보완 메시지가 강하게 반응한다,육아맘에게 고액 연금만 먼저 권하는 메시지,자주 가는 응급실과 부모 공백까지 같이 보는 육아가정 플랜
PD04,1,어린이,JW-CHILD-002,정원우리아이 생활안심,정원손해보험,초등 자녀 가구,가족 전체 관점에서 자녀·가장·운전자 리스크를 같이 보는 제안이 설득력이 높다,자녀보험만 과하게 미는 단일상품형 판매,자녀보험은 있는데 부모 보장은 비어 있는 가정을 위한 점검
